"A","NEG-1","NEG-2","NEG-3","NEG-4","NEG-5","NEG-6","NEG-7","NEG-8","NEG-9","NEG-10","NEG-11","NEG-12","POS-1","POS-2","POS-3","POS-4","POS-5","POS-6","POS-7","POS-8","POS-9","POS-10","POS-11","POS-12","CON-1","CON-2","CON-3","CON-4","CON-5","CON-6","CON-7","CON-8","CON-9","CON-10","CON-11","CON-12"
1,96.4525103,101.19486,99.5946483,98.4448271,95.8855478,96.4154193,94.6297523,94.7516227,94.4707908,94.3966088,91.3392502,92.2877202,94.6304692,101.327361,101.425684,99.3281259,98.0062271,96.7389523,95.2750314,97.0066095,94.8653521,94.5649205,97.3234282,96.0452286,91.1245907,106.155106,94.6003275,86.9045847,87.1167014,78.3938672,93.2345936,88.4563858,83.7563263,81.0360226,84.67922,81.352337
1,88.5851022,92.7663667,88.6858556,88.7682902,87.8889881,91.6855579,87.9897415,87.9943212,86.3410501,87.2295116,89.5422592,88.9652172,71.8717944,80.2680478,83.3336136,79.9384533,80.2310525,90.1172079,76.9805102,77.8280391,82.4104125,84.5275531,84.9210486,72.5393916,92.1914358,92.5328518,92.4190465,89.196079,88.6361567,88.9912294,88.8091408,88.7226488,90.1019696,86.0322904,86.7378835,85.8274407
1,93.6981357,105.505873,115.441259,113.050064,157.300076,158.676141,134.62561,137.861137,132.134513,124.596768,148.592514,126.114629,94.8163492,102.809074,112.514525,108.361542,99.3179407,96.564442,102.708028,98.3377962,95.836912,108.962765,98.2872733,98.4691558,100.234855,109.410195,111.550574,107.734187,102.96237,100.304243,101.104884,100.475047,95.7139045,97.7848946,98.142514,99.8505471
1,72.7725118,78.771722,82.5157978,90.0947867,88.4439179,95.0592417,94.2417062,100.323855,106.563981,107.626382,86.9036335,93.6887836,68.0566366,68.4893091,71.7343528,78.3343254,76.8989515,82.6507486,81.9399295,87.2281489,92.6537246,93.5774461,75.5597271,81.4591823,70.3249471,70.4509832,58.677913,60.1289447,59.295167,64.6468564,59.1400456,59.9899817,57.9701714,57.5338924,58.5938889,60.5846139
1,95.5617301,95.227323,92.8864737,93.7323268,93.0930193,94.7404657,93.5552878,93.373331,90.94888,90.2112174,89.2866803,88.4309917,95.6694714,93.3007134,90.735321,90.2002927,85.7234315,87.5160051,85.7371502,85.6502652,84.7173953,86.4093653,84.4384489,84.5207609,95.4629811,94.9306505,90.9552647,88.2545419,87.3363938,85.8712639,86.9749951,86.1301035,87.082438,85.7247509,85.4121899,85.0605587
1,106.483845,114.981778,123.916275,100.202601,112.134707,116.690397,107.157508,103.666882,108.570694,100.676799,80.9335934,106.685191,82.5936612,70.4052629,76.3260303,77.7423896,76.200774,69.6376668,60.4538131,73.8401751,63.5322267,73.6169621,74.0521473,67.2818855,90.424516,87.5485223,80.1818114,93.9144023,88.5381916,87.9280195,87.2248335,88.2740317,81.6960798,81.6700358,78.0908561,83.7907556
1,98.7948885,101.0111,109.019681,102.012872,101.509188,109.713646,103.708609,100.434661,99.5448186,99.5783975,96.7465721,95.8231508,96.2497997,97.3449436,98.1569528,103.573909,101.741546,104.620973,107.190555,95.293552,93.6962445,92.2859127,90.9610556,93.4077675,100.12609,102.299128,98.4681422,98.7203219,95.4473508,94.77666,94.2562039,93.778672,93.7733065,93.156271,95.2434608,93.0382294
1,95.668812,94.3369033,96.7075019,96.0663966,95.4700196,96.5534379,95.2513481,94.058594,93.074572,91.076709,92.6521383,93.3677907,98.277847,97.0984188,95.1389705,91.1307944,86.7138125,89.1196579,90.6515048,90.5387308,89.4767756,90.4588492,88.3349388,87.2917792,97.457153,94.9499059,93.6937395,92.5698011,93.968367,90.4032955,90.3931241,92.605401,91.5780908,91.9798607,90.8508366,91.0898642
1,107.87527,97.8986187,96.2314793,105.296005,107.133349,108.726297,111.66343,93.6653065,95.1840618,108.041111,96.3100356,97.9422611,78.1405787,76.3451739,79.1891246,79.3289307,79.1339379,80.1493718,73.1590662,81.3303655,79.8734387,87.0513787,85.7268998,82.5260757,94.9690334,95.0218674,97.1660454,100.921659,99.0504564,97.4874519,96.9459039,93.2167073,89.7340691,92.5430743,89.5007191,100.97009
1,96.5042581,97.0836147,94.143271,95.7767952,93.7250888,92.056716,92.2353146,89.1860693,86.3633394,86.8381504,87.3521661,87.8574696,91.208516,86.8545189,86.5581298,89.0294302,84.5001044,83.9490712,89.3592152,88.7580881,86.2492173,83.9574202,87.489042,89.171363,88.9221066,97.3953641,90.6503399,91.1663527,89.5568843,93.0420182,89.8927021,88.7705791,86.7106233,87.5665493,88.5903841,86.4812843
1,95.6330477,93.4885213,97.1864547,91.687669,92.686615,91.5960225,92.1550658,94.4049856,91.2706777,92.4529166,91.2844247,92.8744902,99.9642678,102.241597,99.4592534,101.75564,97.7726959,97.8060459,97.04376,98.3634674,95.3238524,100.388289,96.1718955,95.0379952,97.3617328,92.9218866,91.9952318,89.5661366,88.4685455,85.9854704,88.6124918,86.5297677,87.9467398,89.5706349,90.2138953,87.2629945
2,85.1231205,96.6027457,109.948791,65.5633036,72.9962955,80.131837,87.9505339,83.0213554,81.2922205,61.4284158,62.5495751,55.0152539,101.988399,95.728769,81.7874003,85.2734785,95.8671522,82.89741,90.858859,88.7153919,69.9423894,75.9429194,73.1340354,66.5181419,97.3796861,96.8011415,96.671423,89.3708652,78.8792321,81.7356337,76.7518485,77.1098716,72.9977948,75.4624465,81.8705409,57.8388896
2,105.121964,100.753441,99.9731553,125.427278,123.064946,119.806002,111.863557,129.709899,100.45457,104.622653,103.038817,108.579559,95.2949546,130.547226,145.661003,153.073813,159.915714,162.483904,168.245221,141.248616,103.015732,159.38983,116.632898,87.7776877,67.674043,63.6834195,78.4514183,89.7032268,86.414159,102.040175,135.765318,99.2423648,112.632488,135.729988,81.232405,152.506758
